@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,30.0,41.0,0.0,0.0,380.0,60.0,0.0024390243902439024,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,0.0,NaN,true
0.0,0.0,51.0,2.0,0.0,0.0,4.0,1.0,0.0,295.0,295.0,5.0,5.0,0.0,0.0,8.407407407407407,8.407407407407407,9.0,9.0,2.0,2.0,253.0,253.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,8.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,20.0,20.0,true
0.0,0.0,44.0,3.0,0.0,0.0,950.0,125.0,1.0,920.0,920.0,-1.0,-1.0,0.0,0.0,4.957142857142857,4.957142857142857,51.0,51.0,5.0,5.0,927.0,927.0,2207.0,2207.0,0.0,0.0,30.0,30.0,78.0,78.0,63.0,63.0,4.0,4.0,10.0,10.0,9.0,9.0,9.0,9.0,146.0,146.0,208.0,208.0,true
0.0,0.0,2545.0,3.0,9.0,1.0,151.0,31.0,0.3333333333333333,1082.0,1082.0,3.0,3.0,0.0,0.0,23.536585365853657,23.536585365853657,13.0,13.0,2.0,2.0,1038.0,1038.0,0.0,0.0,0.0,0.0,1.0,1.0,18.0,18.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,104.0,69.0,69.0,true
0.0,0.0,267.0,2.0,0.0,0.0,79.0,19.0,0.0,229.0,229.0,0.0,0.0,0.0,0.0,10.125,10.125,9.0,9.0,2.0,2.0,229.0,229.0,0.0,0.0,0.0,0.0,5.0,5.0,16.0,16.0,12.0,12.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,8.0,8.0,79.0,79.0,true
0.0,0.0,91.0,6.0,0.0,0.0,3.0,0.0,0.26666666666666666,626.0,626.0,0.0,0.0,0.0,0.0,8.215196078431372,8.215196078431372,23.0,23.0,2.0,2.0,626.0,626.0,392.0,392.0,0.0,0.0,6.5,6.5,31.0,31.0,15.5,15.5,0.5,0.5,3.5,3.5,1.5,1.5,1.5,1.5,118.0,118.0,105.5,105.5,true
0.0,1.0,81.0,2.0,153.0,34.0,160.0,34.0,1.0,343.0,510.22222222222223,0.0,-0.7777777777777715,0.0,0.0024461999613170824,9.652173913043478,9.07815563770512,47.0,48.77777777777778,2.0,2.2222222222222223,343.0,516.2222222222222,242.0,1030.7777777777778,0.0,0.3333333333333333,12.0,18.666666666666668,28.0,40.0,23.0,32.666666666666664,2.0,2.5555555555555554,0.0,1.2222222222222223,2.0,2.5555555555555554,2.0,2.5555555555555554,65.0,88.33333333333333,98.0,142.22222222222223,true
0.0,1.0,64.0,2.0,68.0,6.0,68.0,6.0,1.0,256.5,256.5,7.0,7.0,0.004787069745361805,0.004787069745361805,2.1369747899159663,2.1369747899159663,7.0,7.0,1.5,1.5,229.5,229.5,18.0,18.0,0.0,0.0,21.5,21.5,8.0,8.0,2.0,2.0,1.5,1.5,4.0,4.0,18.5,18.5,18.5,18.5,19.0,19.0,40.0,40.0,true
0.0,0.0,181.0,0.0,0.0,0.0,1340.0,191.0,0.0,115.0,115.0,2.0,2.0,0.0,0.0,4.888888888888889,4.888888888888889,5.0,5.0,1.0,1.0,111.0,111.0,21.0,21.0,0.0,0.0,0.0,0.0,7.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,21.0,32.0,32.0,true
0.0,0.0,991.0,5.0,0.0,0.0,139.0,32.0,0.4,742.0,979.3333333333334,0.0,0.6666666666666856,0.0,0.0,8.830769230769231,8.828589743589744,66.0,85.0,4.0,3.6666666666666665,741.0,975.3333333333334,1590.0,1453.6666666666667,0.0,0.0,25.0,33.0,52.0,53.666666666666664,19.0,22.333333333333332,0.0,1.3333333333333333,0.0,0.6666666666666666,1.0,1.3333333333333333,1.0,1.3333333333333333,123.0,157.66666666666666,207.0,251.66666666666666,true
