@relation reopenBugInFuture
@attribute STR numeric
@attribute EB numeric
@attribute DWL numeric
@attribute DN numeric
@attribute OPC numeric
@attribute OPF numeric
@attribute FPC numeric
@attribute FPF numeric
@attribute SS numeric
@attribute locFixMean numeric
@attribute locFixMedian numeric
@attribute DWMCMean numeric
@attribute DWMCMedian numeric
@attribute ReadabilityMean numeric
@attribute ReadabilityMedian numeric
@attribute CDMean numeric
@attribute CDMedian numeric
@attribute CBOMean numeric
@attribute CBOMedian numeric
@attribute DITMean numeric
@attribute DITMedian numeric
@attribute LOCPreFixMean numeric
@attribute LOCPrefixMedian numeric
@attribute LCOMMean numeric
@attribute LCOMMedian numeric
@attribute NOCMean numeric
@attribute NOCMedian numeric
@attribute NOFMean numeric
@attribute NOFMedian numeric
@attribute NOMMean numeric
@attribute NOMMedian numeric
@attribute NOPMMean numeric
@attribute NOPMMedian numeric
@attribute NOPFMean numeric
@attribute NOPFMedian numeric
@attribute NOSMMean numeric
@attribute NOSMMedian numeric
@attribute NOSFMean numeric
@attribute NOSFMedian numeric
@attribute NOSIMean numeric
@attribute NOSIMedian numeric
@attribute RFCMean numeric
@attribute RFCMedian numeric
@attribute WMCMean numeric
@attribute WMCMedian numeric
@attribute BugReopen {false,true}

@data
0.0,0.0,84.0,2.0,132.0,32.0,171.0,38.0,1.0,1016.5,1016.5,1.5,1.5,0.0,0.0,4.490883779414406,4.490883779414406,64.5,64.5,2.5,2.5,1012.5,1012.5,4005.0,4005.0,0.0,0.0,13.0,13.0,69.5,69.5,31.0,31.0,4.5,4.5,23.0,23.0,9.0,9.0,9.0,9.0,217.5,217.5,202.0,202.0,false
0.0,0.0,26.0,1.0,193.0,46.0,193.0,46.0,0.0,124.5,124.5,1.5,1.5,0.0,0.0,6.615079365079366,6.615079365079366,5.0,5.0,2.0,2.0,118.5,118.5,49.5,49.5,0.0,0.0,0.5,0.5,9.5,9.5,4.5,4.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,19.5,19.5,13.0,13.0,false
0.0,0.0,80.0,0.0,1.0,0.0,213.0,54.0,0.0,103.0,530.1666666666666,2.0,0.8333333333333286,0.0,0.0,3.633333333333333,6.939996359286421,14.5,26.0,2.0,2.3333333333333335,98.0,523.8333333333334,14.0,740.1666666666666,0.0,0.0,0.5,5.166666666666667,8.0,20.0,7.0,13.333333333333334,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,11.5,67.83333333333333,12.0,82.5,false
0.0,0.0,22.0,1.0,0.0,0.0,115.0,36.0,0.0,376.0,804.0,0.5,4.25,0.0,0.0,11.28125,14.254464285714285,21.0,26.75,2.0,2.0,340.0,771.75,285.0,817.75,0.0,0.0,1.5,4.5,21.0,29.75,16.0,26.25,0.5,1.75,0.0,0.25,0.5,1.75,0.5,1.75,60.5,100.5,113.5,96.5,false
0.0,0.0,113.0,2.0,1766.0,238.0,1766.0,238.0,0.0,592.0,592.0,0.0,0.0,0.0,0.0,11.891891891891891,11.891891891891891,41.0,41.0,4.0,4.0,589.0,589.0,597.0,597.0,0.0,0.0,13.0,13.0,54.0,54.0,51.0,51.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,90.0,90.0,153.0,153.0,false
0.0,0.0,173.0,1.0,0.0,0.0,1253.0,39.0,0.0,91.0,91.0,4.0,4.0,0.0,0.0,3.826388888888889,3.826388888888889,5.0,5.0,2.0,2.0,82.5,82.5,39.0,39.0,0.0,0.0,5.0,5.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,10.0,10.0,false
0.0,0.0,17.0,0.0,18.0,7.0,18.0,7.0,0.0,227.0,227.0,0.0,0.0,0.0,0.0,7.478260869565218,7.478260869565218,22.0,22.0,3.0,3.0,228.0,228.0,12.0,12.0,0.0,0.0,8.0,8.0,17.0,17.0,11.0,11.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,49.0,49.0,64.0,64.0,false
0.0,1.0,629.0,0.0,0.0,0.0,78.0,8.0,0.0,790.0,968.3333333333334,2.0,4.666666666666686,0.0,0.0,20.741935483870968,24.123708224353383,34.0,50.0,2.0,4.666666666666667,780.0,913.3333333333334,593.0,555.3333333333334,0.0,0.0,26.0,17.666666666666668,36.0,34.333333333333336,27.0,23.666666666666668,0.0,0.6666666666666666,1.0,1.6666666666666667,0.0,0.6666666666666666,0.0,0.6666666666666666,143.0,132.66666666666666,100.0,131.66666666666666,false
0.0,0.0,81.0,4.0,0.0,0.0,15.0,8.0,0.3333333333333333,594.5,594.5,-7.5,-7.5,0.0,0.0,14.581349206349206,14.581349206349206,45.5,45.5,2.0,2.0,610.5,610.5,765.0,765.0,0.0,0.0,5.0,5.0,52.0,52.0,41.5,41.5,0.5,0.5,7.0,7.0,0.5,0.5,0.5,0.5,101.5,101.5,120.0,120.0,false
0.0,0.0,691.0,1.0,0.0,0.0,30.0,6.0,0.0,107.0,117.6,0.0,0.0,0.0,0.0,5.0344827586206895,5.085229885057471,12.0,15.6,2.0,2.0,91.0,107.8,7.0,20.0,0.0,0.0,9.0,7.6,8.0,7.6,2.0,3.0,7.0,5.2,0.0,0.4,8.0,5.8,8.0,5.8,18.0,17.4,10.0,13.2,false
